id,name,owners,length,rfs_date,is_planned,notes,url,landing_points
lake-michigan-chicago-crossing,Lake Michigan Chicago Crossing,"123NET, Peninsula Fiber Network (PFN)",,2028,True,These two segments crossing Lake Michigan make diverse landings at Chicago and form a loop.,,"Benton Harbor, MI, United States, Chicago, IL, United States, St. Joseph, MI, United States"
nongsa-changi,Nongsa-Changi,"BW Digital, Hawaiki Submarine Cable LP, Telin",50 km,2026 August,True,,,"Nongsa, Indonesia, Changi, Singapore"
insica,INSICA,"Singtel, Telin",100 km,2026 Q4,True,,,"Tanjung Bemban, Indonesia, Tuas, Singapore"
ioema-1,IOEMA-1,IOEMA Fibre,"1,667 km",2029,True,,https://ioemafibre.eu/,"Blaabjerg, Denmark, Wilhelmshaven, Germany, Eemshaven, Netherlands, The Hague, Netherlands, Kristiansand, Norway, Dumpton Gap, United Kingdom, Leiston, United Kingdom"
umoja,Umoja,Google,,2028,True,,https://cloud.google.com,"Mandurah, WA, Australia, Amanzimtoti, South Africa"
proa,Proa,Google,"2,891 km",2026,True,,https://cloud.google.com,"Tanguisson Point, Guam, Shima, Japan, Tinian, Northern Mariana Islands"
taihei,Taihei,Google,"7,000 km",2029,True,,https://cloud.google.com,"Takahagi, Japan, Kapolei, HI, United States"
new-cam-ring,New CAM Ring,IP Telecom,"3,812 km",2026,True,,https://www.iptelecom.pt/,"Carcavelos, Portugal, Funchal, Portugal, Machico, Portugal, Sines, Portugal, São Miguel, Portugal, Terceira, Portugal"
sto-hel-one,STO-HEL-One,GlobalConnect,560 km,2008,False,,https://www.globalconnectcarrier.com/,"Hamnäs, Finland, Lokalahti, Finland, Skatörarna, Finland, Nothamnsbacken, Sweden"
sovetskaya-gavan-uglegorsk,Sovetskaya Gavan-Uglegorsk,Rostelecom,127 km,2019,False,,https://www.company.rt.ru/en/,"Sovetskaya Gavan, Russia, Uglegorsk, Russia"
rompin-tioman-island,Rompin-Tioman Island,Telekom Malaysia,75 km,2018,False,,,"Kampung Tekek, Malaysia, Kuala Rompin, Malaysia"
besut-perhentian-islands,Besut-Perhentian Islands,Telekom Malaysia,21 km,2019,False,,,"Kampung Raja, Malaysia, Pulau Perhentian Besar, Malaysia, Pulau Perhentian Kecil, Malaysia"
lumut-pangkor-island,Lumut-Pangkor Island,Telekom Malaysia,4 km,2018,False,,,"Lumut, Malaysia, Pantai Teluk Baharu, Malaysia"
calvi-st-florent,Calvi-St. Florent,Orange,64 km,1997,False,,,"Calvi, France, St. Florent, France"
romsar-2,ROMSAR 2,Sparkle,,1996,False,,,"Civitavecchia, Italy, Giglio, Italy, La Maddalena, Italy, Sassari, Italy"
les-dhyres-cable,Îles d'Hyères Cable,Orange,45 km,1996,False,,,"Héliopolis, France, La Tour Fondue, France, Le Lavandou, France, Porquerolles, France, Port-Cros, France"
lic-lin-lamp,Lic-Lin-Lamp,Sparkle,240 km,2000,False,,,"Lampedusa, Italy, Licata, Italy, Linosa, Italy"
ruppione-isolella,Ruppione-Isolella,Corsica Haut Débit,62 km,2007,False,,,"Propriano, France, Ruppione, France"
sarco,SARCO,Free,,2006,False,,,"Bonifacio, France, Santa Teresa Gallura, Italy"
honomoana,Honomoana,Google,"15,215 km",2026,True,,https://cloud.google.com,"Melbourne, VIC, Australia, Sydney, NSW, Australia, Faratea, French Polynesia, Papenoo, French Polynesia, Auckland, New Zealand, San Diego, CA, United States"
tabua,Tabua,Google,,2026,True,,https://cloud.google.com,"Maroochydore, QLD, Australia, Sydney, NSW, Australia, Natadola, Fiji, Suva, Fiji, Kapolei, HI, United States, Los Angeles, CA, United States"
hawaiian-islands-fiber-link-hifl,Hawaiian Islands Fiber Link (HIFL),"Ocean Networks, University of Hawai’i",740 km,2026 December,True,,https://www.oceannetworks.com/,"Barber’s Point, HI, United States, Hilo, HI, United States, Kahului, HI, United States, Kaunakakai, HI, United States, Lihue, HI, United States, Manele Bay, HI, United States"
5-villages-6-islands,5 Villages 6 Islands,Tokyo Metropolitan Government,355 km,2019,False,,,"Aogashima, Japan, Hachijo, Japan, Kozushima, Japan, Mikurashima, Japan, Miyake, Japan, Niijima, Japan, Oshima, Japan, Shikinejima, Japan, Toshima, Japan"
izu-islands-cable-system,Izu Islands Cable System,NTT,,1996,False,,,"Hachijo, Japan, Itō, Japan, Miyake, Japan, Oshima, Japan"
hachijojima-mainland,Hachijojima-Mainland,NTT,,2008,False,,,"Hachijo, Japan, Miura, Japan"
ogasawara-cable-network,Ogasawara Cable Network,Tokyo Metropolitan Government,"1,038 km",2011 July,False,,,"Chichijima, Japan, Hachijo, Japan, Hahajima, Japan"
bulikula,Bulikula,Google,"21,600 km",2026,True,,https://cloud.google.com,"Natadola, Fiji, Suva, Fiji, Faratea, French Polynesia, Mitirapa, French Polynesia, Papenoo, French Polynesia, Piti, Guam, Tinian, Northern Mariana Islands, Kapolei, HI, United States"
