id,name,longitude,latitude
milton-nl-canada,"Milton, NL, Canada",-53.96023910121645,48.20761257904667
pacific-city-or-united-states,"Pacific City, OR, United States",-123.9626309171155,45.201924825052444
labuan-bajo-indonesia,"Labuan Bajo, Indonesia",119.90756399999964,-8.475551000000419
sape-indonesia,"Sape, Indonesia",118.97619999999958,-8.505600000000262
ende-indonesia,"Ende, Indonesia",121.64273999999965,-8.845699000000248
sumbawa-besar-indonesia,"Sumbawa Besar, Indonesia",118.08221700000053,-8.84115000000092
bima-indonesia,"Bima, Indonesia",118.74490299999954,-8.464266
saraemee-indonesia,"Saraemee, Indonesia",118.71180654503641,-8.796931179918277
waingapu-indonesia,"Waingapu, Indonesia",120.25301639072892,-9.64615484323023
kupang-indonesia,"Kupang, Indonesia",123.5833851252144,-10.183308656195656
taytay-philippines,"Taytay, Philippines",119.50038020515338,10.819603438863586
san-jose-philippines,"San Jose, Philippines",121.05008613857723,12.362623239786029
chindini-comoros,"Chindini, Comoros",43.48910592725337,-11.923498177297583
mouly-new-caledonia,"Mouly, New Caledonia",166.48901879296093,-20.70593760646555
xepenehe-new-caledonia,"Xepenehe, New Caledonia",167.1513230112785,-20.7809160007802
poindimie-new-caledonia,"Poindimie, New Caledonia",165.34155866833254,-20.945878679076127
angra-do-heroismo-portugal,"Angra do Heroismo, Portugal",-27.215824453460687,38.65852273411055
vila-do-porto-portugal,"Vila do Porto, Portugal",-25.14126537622283,36.95676381760329
sao-mateus-portugal,"Sao Mateus, Portugal",-28.46123372745104,38.43229047782683
velas-portugal,"Velas, Portugal",-28.2131870281707,38.683845455403926
porto-santo-portugal,"Porto Santo, Portugal",-16.347668090064676,33.047316301636776
funchal-portugal,"Funchal, Portugal",-16.908946989325337,32.64686582848514
toco-trinidad-and-tobago,"Toco, Trinidad and Tobago",-60.94968727482579,10.831137615524929
pigeon-point-trinidad-and-tobago,"Pigeon Point, Trinidad and Tobago",-60.84031235230797,11.16540972374498
kaliko-haiti,"Kaliko, Haiti",-72.60871221858814,18.86458746066303
huahine-french-polynesia,"Huahine, French Polynesia",-151.0000690389311,-16.730055979033075
moorea-french-polynesia,"Moorea, French Polynesia",-149.82956205562922,-17.538774974102118
uturoa-french-polynesia,"Uturoa, French Polynesia",-151.4430374751281,-16.73090937041819
vaitape-french-polynesia,"Vaitape, French Polynesia",-151.7495313986299,-16.506324613958466
nasugbu-philippines,"Nasugbu, Philippines",120.62301068928154,14.088187386038742
pinamalayan-philippines,"Pinamalayan, Philippines",121.46453896997501,13.045778897500922
roxas-city-philippines,"Roxas City, Philippines",122.74998727810134,11.583305826411662
masbate-city-philippines,"Masbate City, Philippines",123.61668588287377,12.36672505260177
legazpi-city-philippines,"Legazpi City, Philippines",123.74373657411985,13.139089344982024
calbayog-philippines,"Calbayog, Philippines",124.60027893608729,12.069906190827878
